Geometry,Number of Records,Neighbou 1,Neighbourh
POLYGON,1,Ciutat Vella,el Raval
POLYGON,1,Ciutat Vella,el Barri Gòtic
POLYGON,1,Eixample,la Dreta de l'Eixample
POLYGON,1,Eixample,l'Antiga Esquerra de l'Eixample
POLYGON,1,Eixample,la Nova Esquerra de l'Eixample
POLYGON,1,Ciutat Vella,la Barceloneta
POLYGON,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
POLYGON,1,Eixample,el Fort Pienc
POLYGON,1,Eixample,la Sagrada Família
POLYGON,1,Eixample,Sant Antoni
POLYGON,1,Sants-Montjuïc,el Poble Sec
POLYGON,1,Sants-Montjuïc,la Marina de Port
POLYGON,1,Sant Martí,el Clot
POLYGON,1,Sants-Montjuïc,la Marina del Prat Vermell
POLYGON,1,Sants-Montjuïc,la Font de la Guatlla
POLYGON,1,Sants-Montjuïc,Hostafrancs
POLYGON,1,Sants-Montjuïc,la Bordeta
POLYGON,1,Sants-Montjuïc,Sants - Badal
POLYGON,1,Sants-Montjuïc,Sants
POLYGON,1,Les Corts,les Corts
POLYGON,1,Les Corts,la Maternitat i Sant Ramon
POLYGON,1,Horta-Guinardó,el Baix Guinardó
POLYGON,1,Les Corts,Pedralbes
POLYGON,1,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
POLYGON,1,Sarrià-Sant Gervasi,Sarrià
POLYGON,1,Sant Martí,el Parc i la Llacuna del Poblenou
POLYGON,1,Sarrià-Sant Gervasi,les Tres Torres
POLYGON,1,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
POLYGON,1,Gràcia,la Salut
POLYGON,1,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
POLYGON,1,Sant Martí,la Vila Olímpica del Poblenou
POLYGON,1,Sarrià-Sant Gervasi,el Putxet i el Farró
POLYGON,1,Gràcia,el Coll
POLYGON,1,Gràcia,Vallcarca i els Penitents
POLYGON,1,Gràcia,la Vila de Gràcia
POLYGON,1,Gràcia,el Camp d'en Grassot i Gràcia Nova
POLYGON,1,Horta-Guinardó,Can Baró
POLYGON,1,Horta-Guinardó,el Guinardó
POLYGON,1,Nou Barris,Can Peguera
POLYGON,1,Horta-Guinardó,la Font d'en Fargues
POLYGON,1,Horta-Guinardó,la Teixonera
POLYGON,1,Horta-Guinardó,Sant Genís dels Agudells
POLYGON,1,Horta-Guinardó,Montbau
POLYGON,1,Sant Andreu,Baró de Viver
POLYGON,1,Horta-Guinardó,el Carmel
POLYGON,1,Horta-Guinardó,la Vall d'Hebron
POLYGON,1,Nou Barris,Vilapicina i la Torre Llobeta
POLYGON,1,Nou Barris,Porta
POLYGON,1,Horta-Guinardó,la Clota
POLYGON,1,Nou Barris,el Turó de la Peira
POLYGON,1,Sant Martí,el Poblenou
POLYGON,1,Horta-Guinardó,Horta
POLYGON,1,Nou Barris,la Guineueta
POLYGON,1,Nou Barris,Canyelles
POLYGON,1,Nou Barris,les Roquetes
POLYGON,1,Nou Barris,Verdun
POLYGON,1,Nou Barris,la Prosperitat
POLYGON,1,Sant Andreu,el Bon Pastor
POLYGON,1,Nou Barris,la Trinitat Nova
POLYGON,1,Nou Barris,Torre Baró
POLYGON,1,Nou Barris,Ciutat Meridiana
POLYGON,1,Nou Barris,Vallbona
POLYGON,1,Sant Andreu,la Trinitat Vella
POLYGON,1,Sant Andreu,Sant Andreu
POLYGON,1,Sant Andreu,la Sagrera
POLYGON,1,Sant Andreu,el Congrés i els Indians
POLYGON,1,Sant Andreu,Navas
POLYGON,1,Sant Martí,el Camp de l'Arpa del Clot
POLYGON,1,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou
POLYGON,1,Sant Martí,el Besòs i el Maresme
POLYGON,1,Sant Martí,Provençals del Poblenou
POLYGON,1,Sant Martí,Sant Martí de Provençals
POLYGON,1,Sant Martí,la Verneda i la Pau
POLYGON,1,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
POLYGON,1,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
